image_name,threshold,dice,gt_pixels,pred_pixels,max_probability,empty_prediction
cju76o55nymqd0871h31sph9w.jpg,0.3,0.0,482,9513,0.9624472856521606,False
cju76o55nymqd0871h31sph9w.jpg,0.4,0.0,482,8419,0.9624472856521606,False
cju76o55nymqd0871h31sph9w.jpg,0.5,0.0,482,7533,0.9624472856521606,False
cju76o55nymqd0871h31sph9w.jpg,0.55,0.0,482,7058,0.9624472856521606,False
cju76o55nymqd0871h31sph9w.jpg,0.6,0.0,482,6533,0.9624472856521606,False
cju76o55nymqd0871h31sph9w.jpg,0.7,0.0,482,5119,0.9624472856521606,False
cju887ftknop008177nnjt46y.jpg,0.3,0.055872291904218926,2525,983,0.8181200623512268,False
cju887ftknop008177nnjt46y.jpg,0.4,0.0468502690724913,2525,634,0.8181200623512268,False
cju887ftknop008177nnjt46y.jpg,0.5,0.04078857919782461,2525,417,0.8181200623512268,False
cju887ftknop008177nnjt46y.jpg,0.55,0.03619909502262444,2525,348,0.8181200623512268,False
cju887ftknop008177nnjt46y.jpg,0.6,0.032039871840512636,2525,284,0.8181200623512268,False
cju887ftknop008177nnjt46y.jpg,0.7,0.01920945696342815,2525,182,0.8181200623512268,False
cju35k2fr3vc50988c85qkrwg.jpg,0.3,0.3619942196531792,4534,1002,0.7267659902572632,False
cju35k2fr3vc50988c85qkrwg.jpg,0.4,0.2793168880455408,4534,736,0.7267659902572632,False
cju35k2fr3vc50988c85qkrwg.jpg,0.5,0.21636506687647522,4534,550,0.7267659902572632,False
cju35k2fr3vc50988c85qkrwg.jpg,0.55,0.18094282848545637,4534,451,0.7267659902572632,False
cju35k2fr3vc50988c85qkrwg.jpg,0.6,0.1364570489108097,4534,332,0.7267659902572632,False
cju35k2fr3vc50988c85qkrwg.jpg,0.7,0.010530934620447565,4534,24,0.7267659902572632,False
cju1egh885m1l0855ci1lt37c.jpg,0.3,0.0,1750,543,0.7757226824760437,False
cju1egh885m1l0855ci1lt37c.jpg,0.4,0.0,1750,381,0.7757226824760437,False
cju1egh885m1l0855ci1lt37c.jpg,0.5,0.0,1750,212,0.7757226824760437,False
cju1egh885m1l0855ci1lt37c.jpg,0.55,0.0,1750,153,0.7757226824760437,False
cju1egh885m1l0855ci1lt37c.jpg,0.6,0.0,1750,108,0.7757226824760437,False
cju1egh885m1l0855ci1lt37c.jpg,0.7,0.0,1750,38,0.7757226824760437,False
cju2zpw4q9vzr0801p0lysjdl.jpg,0.3,0.0,2198,44,0.4237881302833557,False
cju2zpw4q9vzr0801p0lysjdl.jpg,0.4,0.0,2198,7,0.4237881302833557,False
cju2zpw4q9vzr0801p0lysjdl.jpg,0.5,0.0,2198,0,0.4237881302833557,True
cju2zpw4q9vzr0801p0lysjdl.jpg,0.55,0.0,2198,0,0.4237881302833557,True
cju2zpw4q9vzr0801p0lysjdl.jpg,0.6,0.0,2198,0,0.4237881302833557,True
cju2zpw4q9vzr0801p0lysjdl.jpg,0.7,0.0,2198,0,0.4237881302833557,True
cju2saez63gxl08559ucjq3kt.jpg,0.3,0.10592422022189658,8945,609,0.6869881749153137,False
cju2saez63gxl08559ucjq3kt.jpg,0.4,0.07914438502673797,8945,405,0.6869881749153137,False
cju2saez63gxl08559ucjq3kt.jpg,0.5,0.054958183990442055,8945,262,0.6869881749153137,False
cju2saez63gxl08559ucjq3kt.jpg,0.55,0.03966253971732223,8945,182,0.6869881749153137,False
cju2saez63gxl08559ucjq3kt.jpg,0.6,0.023204419889502764,8945,105,0.6869881749153137,False
cju2saez63gxl08559ucjq3kt.jpg,0.7,0.0,8945,0,0.6869881749153137,True
